id	HR	HR.95L	HR.95H	pvalue
AKR1C3	1.27880799647356	1.07967021935265	1.51467537265707	0.0044058667113432
CARS1	1.68498020466621	1.24329043185125	2.28358412272946	0.000768322269803877
CBS	0.65604908767672	0.477453902358012	0.901449131142984	0.00932523501774461
GCLM	1.44513436041629	1.19339851969357	1.74997143468224	0.00016291998867308
GSS	1.62225626862563	1.16679423548863	2.25550943006935	0.00400983264583775
CRYAB	1.10363121735904	1.00426111853229	1.21283383519764	0.0405315904007437
RPL8	1.18869085311944	1.02034461503591	1.3848124677368	0.0265239160285271
SAT1	0.74693325113638	0.576198341536695	0.968259089682981	0.0275550919854967
SLC7A11	1.46611588366486	1.23262512795172	1.74383576611508	1.53914218558684e-05
TFRC	1.30164661416645	1.07453810655034	1.57675553602307	0.0070423489794015
AIFM2	1.36610073551516	1.0659109975474	1.75083212751267	0.0137338385810185
FTH1	1.42816423535238	1.14126796013898	1.78718158607667	0.00184021052125308
ACSL3	1.46139360943471	1.14811379366588	1.86015645267834	0.00205622538900019
ACACA	1.61310983641783	1.22893389581785	2.1173826787618	0.000570392128280538
PEBP1	0.806974239070314	0.658422362701551	0.989042079086081	0.0388177326069241
KEAP1	1.54419029831252	1.04808014150542	2.27513487086731	0.0279874456449987
NQO1	1.102674676877	1.03589543222796	1.17375886136568	0.00216669348978112
NOX1	1.45484214343804	1.05089230187767	2.01406524583121	0.0238780182717065
ABCC1	1.3725088585226	1.15604099911714	1.62951017149188	0.00029948227309482
SLC1A5	1.36394933979906	1.21532318521527	1.53075151052004	1.34381777711987e-07
