ID,score
Cancer1,-57.4972294060939
Cancer2,-76.7650596290703
Cancer3,-52.1192818604633
Cancer4,-49.1020667872599
Cancer5,-30.2358801847754
Cancer6,-51.6876994232343
Cancer7,-0.0759352859781188
Cancer8,-23.674439711268
Cancer9,-14.763506840027
Cancer10,-38.1774779710261
Cancer11,-52.8753214847703
Cancer12,-37.6983101014735
Cancer1,-43.3512256530273
Cancer2,-81.6625202904747
Cancer3,-30.9867163120207
Cancer4,-68.1949613309712
Cancer5,-12.4764938666121
Cancer6,-33.2300357654947
Cancer7,-24.4025644269376
Cancer8,-36.6057283411045
Cancer9,-39.8782366272736
Cancer10,-32.8101756630641
Cancer11,-5.01467944675355
Cancer12,-68.4364799387418
Cancer1,-44.7903734778923
Cancer2,-56.6494983382968
Cancer3,-73.1354787403855
Cancer4,-49.4756019942478
Cancer5,-27.916519959401
Cancer6,-60.7801931660315
Cancer7,-36.484008963455
Cancer8,-61.6056030733545
Cancer9,19.6827940637608
Cancer10,17.2346454236891
Cancer11,43.9652947564505
Cancer12,30.8926254004894
Cancer1,28.995649111175
Cancer2,29.1063295114905
Cancer3,10.3083143153865
Cancer4,30.385195581293
Cancer5,14.5305204148475
Cancer6,-1.11998960109892
Cancer7,18.1490256238333
Cancer8,16.3043856778809
Cancer9,17.7202842482661
Cancer10,13.5108747752918
Cancer11,26.6189579232967
Cancer12,93.2
